step,action_pred,action_opt,reward,TP,FP,FN,TN
612,1,1,0.6717389822006226,136,126,142,163
613,1,0,-0.685470700263977,136,127,142,163
614,1,1,0.21595355868339539,137,127,142,163
615,0,0,0.293619304895401,137,127,142,164
616,0,1,-0.8871375918388367,137,127,143,164
617,1,0,-0.6479460000991821,137,128,143,164
618,0,0,0.44251641631126404,137,128,143,165
619,1,0,-0.7100557088851929,137,129,143,165
620,1,0,-0.5602079033851624,137,130,143,165
621,0,1,-0.9314308762550354,137,130,144,165
622,1,1,0.26463207602500916,138,130,144,165
623,0,0,0.47233062982559204,138,130,144,166
624,0,1,-0.6102101802825928,138,130,145,166
625,1,0,-0.829932689666748,138,131,145,166
626,0,0,0.439976304769516,138,131,145,167
628,0,1,-0.9428243041038513,138,131,146,167
629,0,1,-0.9435834884643555,138,131,147,167
630,1,0,-0.6541575193405151,138,132,147,167
631,1,0,-0.7548516392707825,138,133,147,167
632,0,0,0.4766800105571747,138,133,147,168
633,0,0,0.4331889748573303,138,133,147,169
634,1,1,0.5814992785453796,139,133,147,169
635,1,1,0.8223661184310913,140,133,147,169
636,0,1,-0.8964659571647644,140,133,148,169
637,0,1,-0.857185423374176,140,133,149,169
