origin_id,destination_id,current_time,wait_time_minutes,next_departure
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,17:15:00,1030.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,17:30:00,1015.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,17:45:00,1000.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,18:00:00,985.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,18:15:00,970.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,18:30:00,955.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,18:45:00,940.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,19:00:00,925.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,19:15:00,910.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,19:30:00,895.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,19:45:00,880.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,20:00:00,865.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,20:15:00,850.0,10:25:00
StopPoint:OCECar TER-87278259,StopPoint:OCECar TER-87581538,20:30:00,835.0,10:25:00
