route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,17,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:2117:20260508,12281,0.0,614,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,415,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260829,12281,0.0,615,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,416,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260731,12281,0.0,616,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,417,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:5:2352:20260627,12281,0.0,617,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,418,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:2210:20260515,12281,0.0,618,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,419,OCESN12281F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:2114:20260718,12281,0.0,619,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,420,OCESN12284F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:4:2240:20260823,12284,1.0,620,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,421,OCESN12284F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:4:2240:20260419,12284,1.0,621,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,293,OCESN12284F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87581009:87391003:4:2240:20260517,12284,1.0,622,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,358,OCESN12285F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87677005:7:1148:20260327,12285,1.0,623,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,406,OCESN12288F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87677005:87391003:7:1422:20260828,12288,,624,
FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3:,318,OCESN12288F1187_F:OUI:FR:Line::145aae45-17eb-45b5-b5b4-facb8b6490f3::87677005:87391003:7:1422:20260731,12288,,625,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,76,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:942:20260307,12560,0.0,924,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,139,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:942:20260425,12560,0.0,925,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,605,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:938:20260627,12560,0.0,926,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,542,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:943:20260418,12560,0.0,927,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,606,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:941:20260829,12560,0.0,928,
FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89:,607,OCESN12560F1187_F:OUI:FR:Line::F74CC5B5-2F44-4A9F-8336-69F30A4DEC89::87581009:87271494:7:943:20260530,12560,0.0,929,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,1,OCESN3831F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:8:1156:20260828,3831,0.0,6472,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2397,OCESN3831F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:8:1156:20260622,3831,0.0,6473,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2398,OCESN3831F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:8:1156:20260829,3831,0.0,6474,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2397,OCESN3833F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:9:1557:20260622,3833,0.0,6475,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2399,OCESN3833F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:8:1557:20260829,3833,0.0,6476,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2400,OCESN3833F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:8:1557:20260828,3833,0.0,6477,
FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,2397,OCESN3835F1187_F:IC:FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f::87481002:87581009:9:2015:20260622,3835,0.0,6478,
