trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1916:20260513,19:16:00,19:16:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260828,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260507,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260512,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260829,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260831,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12267F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1914:20260826,19:14:00,19:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260513,12:47:00,12:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260525,12:42:00,12:42:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260426,12:47:00,12:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260405,12:42:00,12:42:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1508:20260503,12:47:00,12:47:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260827,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260830,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12268F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1455:20260308,12:46:00,12:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12269F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87581009:3:1015:20260826,10:15:00,10:15:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12269F1187_F:OUI:FR:Line::75E9980B-E8DF-4696-8E87-123692055B00::87391003:87581009:3:1018:20260827,10:18:00,10:18:00,StopPoint:OCETGV INOUI-87581009,2,,1,0,
OCESN12271F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2014:20260828,20:14:00,20:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12271F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2017:20260513,20:17:00,20:17:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2202:20260515,18:45:00,18:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2158:20260508,19:45:00,19:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2158:20260514,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12272F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:2156:20260627,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12273F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2114:20260703,21:14:00,21:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12273F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:2116:20260507,21:16:00,21:16:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1926:20260725,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260620,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1926:20260830,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:2016:20260514,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1907:20260516,15:53:00,15:53:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
