id,lat,lon,name,capacity,type,source
55179872,44.8666675,-0.5971559,Place Jean Dennery,,way,osm
55364150,44.8566379,-0.579916,Parking_55364150,,way,osm
55364870,44.8592326,-0.5826343,Parking_55364870,,way,osm
55465012,44.8796128,-0.648602,Parking_55465012,,way,osm
56068025,44.8063755,-0.6043486,Parking_56068025,,way,osm
56157683,44.8598757,-0.5802787,Place de l'Europe,,way,osm
56158663,44.8668516,-0.5765525,Parc-Relais Ravezies - Le Bouscat,369.0,way,osm
56395203,44.894234,-0.7184076,Parking_56395203,,way,osm
56976672,44.895528,-0.7146738,Martyrs de la Résistance,,way,osm
57028092,44.8929613,-0.7153749,Parking_57028092,,way,osm
57740691,44.9093271,-0.63516,Place Marcelin Berthelot,,way,osm
57744039,44.9119584,-0.6257719,Parking_57744039,,way,osm
57777418,44.919141,-0.6286098,Parking_57777418,,way,osm
59175273,44.8753606,-0.6189711,Parking_59175273,,way,osm
60085957,44.8478544,-0.6581257,Parking_60085957,,way,osm
60853395,44.8290506,-0.6688962,Parking_60853395,,way,osm
61570315,44.8942651,-0.7162127,Les Vergers,100.0,way,osm
61726239,44.8963876,-0.7175038,Mairie,100.0,way,osm
65757583,44.7660094,-0.5806253,Parking_65757583,,way,osm
66596524,44.8957,-0.7170572,Parking_66596524,,way,osm
66608420,44.9030524,-0.7006831,Parking_66608420,,way,osm
67416559,44.8140671,-0.5249924,Parking_67416559,,way,osm
67567476,44.8737299,-0.703994,Parking_67567476,,way,osm
70910148,44.8851078,-0.6912771,Parking_70910148,,way,osm
70914616,44.8813437,-0.6878395,Parking_70914616,,way,osm
70914617,44.8806064,-0.6886874,Parking_70914617,,way,osm
70914619,44.879771,-0.6884587,Parking_70914619,,way,osm
79953936,44.9478266,-0.6009411,Parking_79953936,,way,osm
82681792,44.9036323,-0.7475825,Parking_82681792,,way,osm
87598055,44.8960955,-0.7211797,Place du 8 mai 1945,,way,osm
88961231,44.8969119,-0.7216347,Parking_88961231,28.0,way,osm
103392940,44.846386,-0.6544885,Parking_103392940,,way,osm
